 
4,2.9325485229492188e-05,2.916
260,0.030744075775146484,29.394
510,0.115570068359375,54.4
766,0.2642390727996826,81.878
1028,0.49219417572021484,110.396
1266,0.7907888889312744,137.57
1526,1.181124210357666,166.18
1790,1.673353910446167,193.738
2024,2.242841958999634,221.488
2296,2.893159866333008,249.43
132,0.010202884674072266,22.486
132,0.009992361068725586,22.486
132,0.010118961334228516,22.486
2,2.09808349609375e-05,2.812
128,0.008247137069702148,15.327
266,0.030438899993896484,26.266
386,0.06579995155334473,40.457
522,0.11416006088256836,54.4
638,0.1731579303741455,68.051
762,0.25875115394592285,81.878
884,0.3623661994934082,95.657
1008,0.48801398277282715,110.396
1140,0.6397411823272705,123.471
1284,0.791053056716919,137.57
1398,0.9782819747924805,151.825
1516,1.1890630722045898,166.18
1646,1.4187140464782715,179.255
1768,1.6764161586761475,193.738
1912,1.941305160522461,206.813
2056,2.20524001121521,221.488
2174,2.5552241802215576,234.563
2280,2.921518087387085,249.43
2396,3.3045949935913086,262.505
132,0.009642839431762695,22.486
2,2.384185791015625e-05,2.812
128,0.008072137832641602,15.327
256,0.029946088790893555,26.266
384,0.06473374366760254,40.457
528,0.11297106742858887,54.4
652,0.17410993576049805,68.051
770,0.2589139938354492,81.878
900,0.36269307136535645,95.657
1032,0.48596692085266113,110.396
1146,0.6214380264282227,123.471
1280,0.7775471210479736,137.57
1402,0.9641432762145996,151.825
1520,1.1824421882629395,166.18
1664,1.3917920589447021,179.255
1792,1.657486915588379,193.738
1918,1.9126498699188232,206.813
2038,2.1985881328582764,221.488
2170,2.5072250366210938,234.563
2288,2.8494389057159424,249.43
2402,3.2424161434173584,262.505
